item,itemLabel,url
http://www.wikidata.org/entity/Q2936,Oldenburg,https://www.oldenburg.de/
http://www.wikidata.org/entity/Q3033,Göttingen,https://www.goettingen.de/
http://www.wikidata.org/entity/Q1731,Dresden,https://www.dresden.de/
http://www.wikidata.org/entity/Q4174,Emden,https://www.emden.de/
http://www.wikidata.org/entity/Q2916,Osnabrück,https://www.osnabrueck.de/
http://www.wikidata.org/entity/Q3014,Wolfsburg,http://www.wolfsburg.de
http://www.wikidata.org/entity/Q2079,Leipzig,https://www.leipzig.de/
http://www.wikidata.org/entity/Q1733,Magdeburg,https://www.magdeburg.de/
http://www.wikidata.org/entity/Q2833,Freiburg im Breisgau,https://www.freiburg.de/
http://www.wikidata.org/entity/Q3042,Offenbach am Main,https://www.offenbach.de/
http://www.wikidata.org/entity/Q3214,Cottbus,https://www.cottbus.de
http://www.wikidata.org/entity/Q3758,Kaiserslautern,https://www.kaiserslautern.de/
http://www.wikidata.org/entity/Q7070,Eisenach,https://www.eisenach.de/
http://www.wikidata.org/entity/Q1295,Dortmund,https://www.dortmund.de/
http://www.wikidata.org/entity/Q2773,Braunschweig,https://www.braunschweig.de/
http://www.wikidata.org/entity/Q2966,Heidelberg,https://www.heidelberg.de/
http://www.wikidata.org/entity/Q3857,Wilhelmshaven,https://www.wilhelmshaven.de/
http://www.wikidata.org/entity/Q3104,Koblenz,https://www.koblenz.de/
http://www.wikidata.org/entity/Q3004,Ingolstadt,https://www.ingolstadt.de/
http://www.wikidata.org/entity/Q3852,Worms,http://www.worms.de
http://www.wikidata.org/entity/Q2871,Hagen,https://www.hagen.de/
http://www.wikidata.org/entity/Q2090,Nürnberg,https://www.nuernberg.de/
http://www.wikidata.org/entity/Q2899,Mülheim an der Ruhr,http://www.muelheim-ruhr.de
http://www.wikidata.org/entity/Q715,Heilbronn,https://www.heilbronn.de/
http://www.wikidata.org/entity/Q3097,Remscheid,http://www.remscheid.de
http://www.wikidata.org/entity/Q6905,Frankenthal,http://www.frankenthal.de
http://www.wikidata.org/entity/Q2838,Oberhausen,https://www.oberhausen.de/
http://www.wikidata.org/entity/Q494299,Landsberg am Lech,http://www.landsberg.de
http://www.wikidata.org/entity/Q6938,Hof,https://www.hof.de/
