item,itemLabel,offizielle_Website
http://www.wikidata.org/entity/Q1550192,Filmuniversität Babelsberg „Konrad Wolf“,http://www.filmuniversitaet.de/
http://www.wikidata.org/entity/Q161976,Julius-Maximilians-Universität Würzburg,http://www.uni-wuerzburg.de/en/
http://www.wikidata.org/entity/Q1622117,Hochschule Koblenz,http://www.hs-koblenz.de/
http://www.wikidata.org/entity/Q1622135,Hochschule Osnabrück,http://www.hs-osnabrueck.de/
http://www.wikidata.org/entity/Q1622072,Ostbayerische Technische Hochschule Amberg – Weiden,http://www.oth-aw.de/
http://www.wikidata.org/entity/Q1622179,Hochschule für Gestaltung Offenbach am Main,http://www.hfg-offenbach.de/
http://www.wikidata.org/entity/Q1622179,Hochschule für Gestaltung Offenbach am Main,http://www.hfg-offenbach.de/en#feature_and_news
http://www.wikidata.org/entity/Q263537,Technische Hochschule Rosenheim,http://www.fh-rosenheim.de/
http://www.wikidata.org/entity/Q911561,Medizinische Hochschule Hannover,http://www.mh-hannover.de/
http://www.wikidata.org/entity/Q314684,Technische Hochschule Mittelhessen,http://www.th-mittelhessen.de/site/
http://www.wikidata.org/entity/Q314684,Technische Hochschule Mittelhessen,http://www.thm.de/
http://www.wikidata.org/entity/Q317855,Hochschule für Musik Detmold,http://www.hfm-detmold.de/
http://www.wikidata.org/entity/Q24382,Universität Bielefeld,http://www.uni-bielefeld.de
http://www.wikidata.org/entity/Q50662,Goethe-Universität Frankfurt am Main,https://www.uni-frankfurt.de/
http://www.wikidata.org/entity/Q55038,Universität der Künste Berlin,https://www.udk-berlin.de/
http://www.wikidata.org/entity/Q414041,Akademie der Bildenden Künste Nürnberg,http://www.adbk-nuernberg.de
http://www.wikidata.org/entity/Q414052,Akademie der Bildenden Künste München,https://www.adbk.de/
http://www.wikidata.org/entity/Q1523703,Hochschule für angewandte Wissenschaften Fachhochschule Aschaffenburg,http://www.th-ab.de
http://www.wikidata.org/entity/Q447354,Technische Universität Clausthal,http://www.tu-clausthal.de/
http://www.wikidata.org/entity/Q506436,Europa-Universität Flensburg,https://www.uni-flensburg.de/
http://www.wikidata.org/entity/Q574571,Universität Regensburg,https://www.uni-regensburg.de/
http://www.wikidata.org/entity/Q574571,Universität Regensburg,https://www.uni-regensburg.de/en
http://www.wikidata.org/entity/Q1310061,Pädagogische Hochschule Karlsruhe,http://www.ph-karlsruhe.de/
http://www.wikidata.org/entity/Q655866,Otto-von-Guericke-Universität Magdeburg,http://www.ovgu.de/
http://www.wikidata.org/entity/Q689854,Technische Universität Bergakademie Freiberg,http://www.tu-freiberg.de/
http://www.wikidata.org/entity/Q700824,Hochschule für Musik und Theater Hamburg,http://www.hfmt-hamburg.de
http://www.wikidata.org/entity/Q1391189,Fachhochschule Erfurt,http://www.fh-erfurt.de/
http://www.wikidata.org/entity/Q1391239,Hochschule Worms,http://www.hs-worms.de/
http://www.wikidata.org/entity/Q500692,Universität Bremen,https://www.uni-bremen.de/
http://www.wikidata.org/entity/Q1481465,Hessische Hochschule für Polizei und Verwaltung,http://www.hfpv.de
http://www.wikidata.org/entity/Q1622145,Hochschule für angewandte Wissenschaften Weihenstephan-Triesdorf,https://www.hswt.de/en.html
http://www.wikidata.org/entity/Q1622076,Hochschule für angewandte Wissenschaften Ansbach,http://www.hs-ansbach.de
http://www.wikidata.org/entity/Q1622101,Hochschule Esslingen,http://www.hs-esslingen.de
http://www.wikidata.org/entity/Q1622109,Hochschule für Angewandte Wissenschaften Hof,http://www.hof-university.de
http://www.wikidata.org/entity/Q1622115,Hochschule für angewandte Wissenschaften Kempten,http://www.hochschule-kempten.de/
http://www.wikidata.org/entity/Q1622141,Hochschule Ruhr West,http://en.hochschule-ruhr-west.de/
http://www.wikidata.org/entity/Q1622141,Hochschule Ruhr West,http://www.hochschule-ruhr-west.de/
http://www.wikidata.org/entity/Q1622175,Hochschule für Forstwirtschaft Rottenburg,http://www.hs-rottenburg.net
http://www.wikidata.org/entity/Q657167,Hochschule für Musik und Theater München,http://website.musikhochschule-muenchen.de/de/index.php
http://www.wikidata.org/entity/Q704468,Universität Passau,http://www.uni-passau.de/
http://www.wikidata.org/entity/Q156737,Christian-Albrechts-Universität zu Kiel,http://www.uni-kiel.de
http://www.wikidata.org/entity/Q161982,Johannes Gutenberg-Universität Mainz,https://www.uni-mainz.de/
http://www.wikidata.org/entity/Q1622092,Hochschule Bremen,http://www.hs-bremen.de/
http://www.wikidata.org/entity/Q1622149,Hochschule der Bildenden Künste Saar,http://www.hbksaar.de
http://www.wikidata.org/entity/Q1622205,Hochschule für Musik Nürnberg,http://www.hfm-nuernberg.de/
http://www.wikidata.org/entity/Q1622105,Hochschule Harz,https://www.hs-harz.de/
http://www.wikidata.org/entity/Q1622143,Technische Hochschule Ulm,http://hs-ulm.de
http://www.wikidata.org/entity/Q1622133,Hochschule Offenburg,https://www.hs-offenburg.de/
http://www.wikidata.org/entity/Q273263,RWTH Aachen,http://www.rwth-aachen.de
http://www.wikidata.org/entity/Q283099,Universität der Bundeswehr München,http://www.unibw.de/
http://www.wikidata.org/entity/Q284992,Hochschule Darmstadt,http://www.h-da.de/
http://www.wikidata.org/entity/Q149481,Europa-Universität Viadrina,https://www.europa-uni.de
http://www.wikidata.org/entity/Q153012,Universität Potsdam,https://www.uni-potsdam.de/
http://www.wikidata.org/entity/Q155354,Philipps-Universität Marburg,http://www.uni-marburg.de/
http://www.wikidata.org/entity/Q314089,Hochschule für angewandte Wissenschaften München,http://hm.edu/
http://www.wikidata.org/entity/Q315229,Deutsche Sporthochschule Köln,http://www.dshs-koeln.de/
http://www.wikidata.org/entity/Q317032,Heinrich-Heine-Universität Düsseldorf,https://www.hhu.de/
http://www.wikidata.org/entity/Q1011953,Burg Giebichenstein Kunsthochschule Halle,https://www.burg-halle.de/
http://www.wikidata.org/entity/Q260107,Hochschule für Musik Würzburg,http://www.hfm-wuerzburg.de/
http://www.wikidata.org/entity/Q309948,Ruhr-Universität Bochum,https://www.ruhr-uni-bochum.de/
http://www.wikidata.org/entity/Q573975,Bauhaus-Universität Weimar,http://www.uni-weimar.de/
http://www.wikidata.org/entity/Q536163,Hochschule für Musik Franz Liszt Weimar,http://www.hfm-weimar.de/
http://www.wikidata.org/entity/Q702499,Universität Osnabrück,http://www.uni-osnabrueck.de
http://www.wikidata.org/entity/Q702486,Universität Trier,https://www.uni-trier.de/
http://www.wikidata.org/entity/Q1391182,Technische Hochschule Brandenburg,http://www.th-brandenburg.de/
http://www.wikidata.org/entity/Q1413500,Hochschule für Musik und Darstellende Kunst Mannheim,http://www.muho-mannheim.de/
http://www.wikidata.org/entity/Q835440,Universität Konstanz,http://www.uni-konstanz.de/
http://www.wikidata.org/entity/Q881130,Hochschule für Musik und Theater Rostock,https://www.hmt-rostock.de/
http://www.wikidata.org/entity/Q1540704,Hochschule für Technik Stuttgart,https://www.hft-stuttgart.de/
http://www.wikidata.org/entity/Q1622121,Hochschule für angewandte Wissenschaften Landshut,http://www.haw-landshut.de/
http://www.wikidata.org/entity/Q1622138,Hochschule Rhein-Waal,http://www.hochschule-rhein-waal.de/
http://www.wikidata.org/entity/Q1622147,Hochschule Zittau/Görlitz,http://www.hszg.de/
http://www.wikidata.org/entity/Q1622147,Hochschule Zittau/Görlitz,http://www.hszg.de/en.html
http://www.wikidata.org/entity/Q678982,Leibniz Universität Hannover,https://www.uni-hannover.de/en/
http://www.wikidata.org/entity/Q1060,Technische Universität Hamburg,https://www.tuhh.de/
http://www.wikidata.org/entity/Q55021,Hochschule für Musik und Tanz Köln,http://www.hfmt-koeln.de/
http://www.wikidata.org/entity/Q168426,Westfälische Wilhelms-Universität Münster,https://www.uni-muenster.de/
http://www.wikidata.org/entity/Q202952,Hochschule Mittweida,http://www.hs-mittweida.de/
http://www.wikidata.org/entity/Q1391209,Hochschule Nordhausen,https://www.hs-nordhausen.de/
http://www.wikidata.org/entity/Q1441039,Hochschule Albstadt-Sigmaringen,http://www.hs-albsig.de/
http://www.wikidata.org/entity/Q319333,Stiftungsuniversität Hildesheim,http://www.uni-hildesheim.de/
http://www.wikidata.org/entity/Q153012,Universität Potsdam,http://www.uni-potsdam.de/
http://www.wikidata.org/entity/Q1567759,HafenCity Universität Hamburg,https://www.hcu-hamburg.de
http://www.wikidata.org/entity/Q1622125,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,http://www.hs-lu.de/
http://www.wikidata.org/entity/Q1622130,Hochschule Neubrandenburg,http://www.hs-nb.de/
http://www.wikidata.org/entity/Q1622111,Technische Hochschule Ingolstadt,http://www.thi.de/
http://www.wikidata.org/entity/Q466664,Hochschule für Künste Bremen,http://www.hfk-bremen.de/
http://www.wikidata.org/entity/Q32120,Martin-Luther-Universität Halle-Wittenberg,https://www.uni-halle.de/
http://www.wikidata.org/entity/Q54166,Technische Hochschule Köln,http://www.th-koeln.de/
http://www.wikidata.org/entity/Q568692,Hochschule für Musik und Darstellende Kunst Stuttgart,http://www.mh-stuttgart.de
http://www.wikidata.org/entity/Q569350,Hochschule für Fernsehen und Film München,http://www.hff-muc.de
http://www.wikidata.org/entity/Q569350,Hochschule für Fernsehen und Film München,https://www.hff-muenchen.de
http://www.wikidata.org/entity/Q597758,Carl von Ossietzky Universität Oldenburg,http://www.uni-oldenburg.de/
http://www.wikidata.org/entity/Q616905,Universität Augsburg,http://www.uni-augsburg.de/
http://www.wikidata.org/entity/Q678965,Technische Universität Kaiserslautern,https://www.uni-kl.de
